,logFC,pvalue,FDR
TAP2,2.42518192618609,2.76782796078123e-05,0.00156579981781338
RAB32,-4.33187339581789,2.77999047266775e-05,0.00156646419677278
MT1E,8.69934781192516,2.80418280108607e-05,0.00157387519733398
CCNI,-1.59884438520915,2.98263858089509e-05,0.00166747041604864
LRMP,-2.41471761564708,3.11226551846788e-05,0.0017331428605968
PIM1,2.94455695465302,3.18494228774835e-05,0.00176671351183426
NACA4P,-1.6113422634101,3.20766476598067e-05,0.00177242127534188
LINC02591,5.56408693743905,3.32889181925422e-05,0.00183066073988377
PLAC8,1.64637741593345,3.33951022033485e-05,0.00183066073988377
ARAP2,1.96174215073675,3.35158847579731e-05,0.00183066073988377
PPP4R2,-2.85579657191149,3.38654157844287e-05,0.00183329849067299
MT-CO3,-1.7744620257085,3.3944384408291e-05,0.00183329849067299
RHOF,2.45955877341079,3.40150615371071e-05,0.00183329849067299
LINC01222,-9.69103021880588,3.40785704284752e-05,0.00183329849067299
TLE4,-2.34439953483774,3.46403122090111e-05,0.00185651237162279
BZW1,-2.15888013192054,3.53260990623161e-05,0.00188617553645086
CERK,2.46336338677662,3.57764869456378e-05,0.00190309551454109
RPS20P10,-1.88395865579084,3.667642871652e-05,0.00194286293626824
SUZ12,-2.55718414452958,3.67966465202318e-05,0.00194286293626824
FCGR3B,9.23409079773153,3.77262525999011e-05,0.00198459578252469
AL161909.1,-0.871686559992173,3.84793909590231e-05,0.0020101100508873
GTSF1,-8.10469103946309,3.84932690721262e-05,0.0020101100508873
NPIPA9,-1.96034708048653,3.88682290632936e-05,0.00202228275009603
ATP5MGL,-3.26142026281121,3.91134683609407e-05,0.00202764219983116
GSE1,-2.15486993193957,4.00959864212957e-05,0.00206795999714849
HCP5,2.83396067769648,4.01813214934155e-05,0.00206795999714849
IGF2BP3,-7.33746195182304,4.03909329486085e-05,0.00207127028818476
TMEM258,-1.80368964118188,4.11723749645931e-05,0.00210377554657792
AL109914.1,-9.05615742229954,4.13865527514323e-05,0.00210716677151578
PAFAH1B3,-4.51412559350717,4.2750822841886e-05,0.00216888160296771
HNRNPA1P7,-3.34578684221025,4.33631459249018e-05,0.00219214541952269
PTMAP12,-3.07797635984425,4.47176749261979e-05,0.00224939061959498
SEPTIN1,-1.79705704275022,4.48110925901357e-05,0.00224939061959498
AC092368.3,-2.79581985907182,4.51286405139806e-05,0.00225738210234143
TBXAS1,-6.59652727566661,4.53413036978212e-05,0.00226008959970678
ACVR1B,-3.79851585650428,4.57062600222047e-05,0.0022703430065385
LINC01145,3.26450387262999,4.77871282467124e-05,0.00236546284821226
ZNF831,3.92683625070395,4.83691850658996e-05,0.00238598997335455
STX10,-3.60013242136771,4.87924047458677e-05,0.00239567585637421
U2AF1,-1.45670077161564,4.90507016243091e-05,0.00239567585637421
AC022795.1,-1.86899478612942,4.90696794375189e-05,0.00239567585637421
H6PD,-3.06475831268325,4.94849740478864e-05,0.00240770576800911
S100A4,4.83635123484256,4.97188849351016e-05,0.00241085858379186
METTL9,-2.40878057100287,5.12982488489744e-05,0.00247900961217281
AC133134.1,-1.50715771802659,5.1693749094861e-05,0.00248968272667682
KIAA0319L,-2.51834166586858,5.39094475290325e-05,0.00258765348139356
CHD6,-2.07229617328626,5.41553299170383e-05,0.00259073282985671
RCBTB2,-3.94284052844662,5.59127881033517e-05,0.00266586189699459
ILF2,-2.34558721590778,5.62005405189137e-05,0.00267064968545878
AC016712.1,-1.43289183882938,5.64466771846295e-05,0.002673434650977
EEF1A1P9,-1.60224517839131,5.80348272566367e-05,0.00273955131579673
PPIAP11,-3.30260710427316,5.97359337916048e-05,0.00281054611265055
CAST,2.74762728228549,6.11646473469563e-05,0.00286830004137569
AC138409.2,-2.14183351921049,6.20992330566672e-05,0.00290257923428147
HNRNPL,-1.57222387444608,6.27713016628784e-05,0.00292440417158822
ATOX1,-4.18416721927535,6.32092851894361e-05,0.00293521683928535
PGBD4P1,-8.53253550909163,6.69556652829195e-05,0.00309475270116352
ZFP1,-6.33867313885305,6.70790252987885e-05,0.00309475270116352
MRPL45,-4.0529518746261,6.8846351233609e-05,0.00315760606664397
AC104758.1,-6.97772565866212,6.88843635470171e-05,0.00315760606664397
MT1F,4.46061787500067,7.41260530949805e-05,0.00338699042603219
MED14,-3.35564132198134,7.50877620477874e-05,0.00341997167972287
RNVU1-18,-3.95442562723481,7.59544746997687e-05,0.00344248844620284
IER5,4.31206935788274,7.6079214034741e-05,0.00344248844620284
MRPS16,-2.90658031307456,7.63065620791314e-05,0.00344248844620284
REST,-1.59574745798507,7.73386778358809e-05,0.00347239946640899
